County,State,Population,Area in square miles - Land area,Population sq mi land,Housing units sq mi
Greenup,Kentucky,"35,098",344.4,107.2,47.4
Hancock,Kentucky,"8,722",187.65,45.6,19.9
Hardin,Kentucky,"110,958",623.28,169.3,69.4
Harlan,Kentucky,"26,010",465.83,62.9,29
Harrison,Kentucky,"18,886",306.36,61.5,26.8
Hart,Kentucky,"19,035",412.09,44.2,20.8
Henderson,Kentucky,"45,210",436.67,105.9,46.5
Henry,Kentucky,"16,126",286.28,53.9,23.2
Hickman,Kentucky,"4,380",242.27,20.2,9.7
Hopkins,Kentucky,"44,686",542,86.6,39.1
Jackson,Kentucky,"13,329",345.2,39.1,18.9
Jefferson,Kentucky,"766,757",380.42,1948.1,887.5
Jessamine,Kentucky,"54,115",172.12,282.3,112.3
Johnson,Kentucky,"22,188",261.95,89.2,40.6
Kenton,Kentucky,"166,998",160.25,996.7,430.4
Knott,Kentucky,"14,806",351.52,46.5,21.2
Knox,Kentucky,"31,145",386.3,82.5,37.5
Larue,Kentucky,"14,398",261.52,54.3,23.6
Laurel,Kentucky,"60,813",433.95,135.6,58.6
Lawrence,Kentucky,"15,317",415.6,38.2,17.5
Lee,Kentucky,"7,403",208.86,37.8,16.5
Leslie,Kentucky,"9,877",400.84,28.2,13.2
Letcher,Kentucky,"21,553",337.91,72.6,34.3
Lewis,Kentucky,"13,275",482.84,28.7,13.4
Lincoln,Kentucky,"24,549",334.09,74.1,32.4
Livingston,Kentucky,"9,194",313.13,30.4,15.4
Logan,Kentucky,"27,102",552.13,48.6,22.3
Lyon,Kentucky,"8,210",213.84,38.9,22.4
McCracken,Kentucky,"65,418",248.74,263.6,124.9
McCreary,Kentucky,"17,231",426.8,42.9,17.6
McLean,Kentucky,"9,207",252.47,37.8,16.9
Madison,Kentucky,"92,987",437.29,189.6,80.1
Magoffin,Kentucky,"12,161",308.44,43.2,19.3
Marion,Kentucky,"19,273",343.01,57.8,23.9
Marshall,Kentucky,"31,100",301.25,104.4,52.3
Martin,Kentucky,"11,195",229.6,56.3,22.5
Mason,Kentucky,"17,070",240.13,72.8,33.8
Meade,Kentucky,"28,572",305.42,93.6,38.5
Menifee,Kentucky,"6,489",203.58,31,18.4
Mercer,Kentucky,"21,933",248.8,85.7,40
Metcalfe,Kentucky,"10,071",289.65,34.9,16.2
Monroe,Kentucky,"10,650",329.37,33.3,15.8
Montgomery,Kentucky,"28,157",197.37,134.3,59.3
Morgan,Kentucky,"13,309",381.13,36.5,15.3
Muhlenberg,Kentucky,"30,622",467.08,67.4,29.3
Nelson,Kentucky,"46,233",417.51,104,43.3
Nicholas,Kentucky,"7,269",195.17,36.6,16.7
Ohio,Kentucky,"23,994",587.27,40.6,17.4
Oldham,Kentucky,"66,799",187.22,322.2,110.5
Owen,Kentucky,"10,901",351.1,30.9,16
Owsley,Kentucky,"4,415",197.41,24.1,11.8
Pendleton,Kentucky,"14,590",277.16,53.7,22.9
Perry,Kentucky,"25,758",339.67,84.5,37.7
Pike,Kentucky,"57,876",786.83,82.6,38.5
Powell,Kentucky,"12,359",178.98,70.5,31.3
Pulaski,Kentucky,"64,979",658.41,95.8,47.8
Robertson,Kentucky,"2,108",99.91,22.8,11
Rockcastle,Kentucky,"16,695",316.54,53.9,24.3
Rowan,Kentucky,"24,460",279.8,83.4,36.1
Russell,Kentucky,"17,923",253.66,69.2,39.4
Scott,Kentucky,"57,004",281.77,167.4,68.5
Shelby,Kentucky,"49,024",379.64,110.8,43.7
Simpson,Kentucky,"18,572",234.2,74,31.7
Spencer,Kentucky,"19,351",186.68,91.4,35.9
Taylor,Kentucky,"25,769",266.33,92,40.8
Todd,Kentucky,"12,294",374.5,33.3,14.1
Trigg,Kentucky,"14,651",441.43,32.5,17.7
Trimble,Kentucky,"8,471",151.65,58.1,25.9
Union,Kentucky,"14,381",342.85,43.8,17.9
Warren,Kentucky,"132,896",541.6,210.1,87.2
Washington,Kentucky,"12,095",297.27,39.4,17
Wayne,Kentucky,"20,333",458.17,45.4,23.9
Webster,Kentucky,"12,942",331.94,41,17.9
Whitley,Kentucky,"36,264",437.83,81.4,34.6
Wolfe,Kentucky,"7,157",222.17,33.1,16.5
Woodford,Kentucky,"26,734",188.78,132.1,56.7
Acadia,Louisiana,"62,045",655.12,94.3,38.8
Allen,Louisiana,"25,627",761.85,33.8,12.8
Ascension,Louisiana,"126,604",289.98,369.7,140.6
Assumption,Louisiana,"21,891",338.66,69.2,30.6
Avoyelles,Louisiana,"40,144",832.43,50.5,21.7
Beauregard,Louisiana,"37,497",1157.34,30.8,13
Bienville,Louisiana,"13,241",811.27,17.7,9.5
Bossier,Louisiana,"127,039",840.06,139.3,58.7
Caddo,Louisiana,"240,204",878.54,290.2,127.5
Calcasieu,Louisiana,"203,436",1063.66,181.2,77.1
Caldwell,Louisiana,"9,918",529.42,19.1,9.4
Cameron,Louisiana,"6,973",1284.89,5.3,2.8
Catahoula,Louisiana,"9,494",708.03,14.7,6.9
Claiborne,Louisiana,"15,670",754.88,22.8,10.3
Concordia,Louisiana,"19,259",696.92,29.9,13.5
De Soto,Louisiana,"27,463",875.58,30.4,14
East Baton Rouge,Louisiana,"440,059",455.37,966.6,411.4
East Carroll,Louisiana,"6,861",420.7,18.4,6.9
East Feliciana,Louisiana,"19,135",453.41,44.7,17.7
Evangeline,Louisiana,"33,395",662.38,51.3,22.1
Franklin,Louisiana,"20,015",624.59,33.2,14.5
Grant,Louisiana,"22,389",643.03,34.7,13.8
Iberia,Louisiana,"69,830",574.11,127.6,51.7
Iberville,Louisiana,"32,511",618.63,54,20.5
Jackson,Louisiana,"15,744",569.18,28.6,13.5
Jefferson,Louisiana,"432,493",295.63,1463.1,639.8
Jefferson Davis,Louisiana,"31,368",651.33,48.5,20.4
Lafayette,Louisiana,"244,390",268.72,824.6,348.5
Lafourche,Louisiana,"97,614",1068.21,90.2,36.1
LaSalle,Louisiana,"14,892",624.68,23.8,10.5
Lincoln,Louisiana,"46,742",471.74,99.1,41.3
Livingston,Louisiana,"140,789",648.17,197.5,77.4
Madison,Louisiana,"10,951",624.44,19.4,7.7
Morehouse,Louisiana,"24,874",794.93,35.2,15.6
Natchitoches,Louisiana,"38,158",1252.25,31.6,14.8
Orleans,Louisiana,"390,144",169.42,2029.4,1120.8
Ouachita,Louisiana,"153,279",610.41,251.8,105.6
Plaquemines,Louisiana,"23,197",779.91,29.5,12.3
Pointe Coupee,Louisiana,"21,730",557.35,40.9,20
Rapides,Louisiana,"129,648",1317.96,99.9,42.3
Red River,Louisiana,"8,442",389.09,23.4,10.6
Richland,Louisiana,"20,122",559.04,37.1,15.4
Sabine,Louisiana,"23,884",866.66,28,16.3
St. Bernard,Louisiana,"47,244",377.52,95.1,44.5
St. Charles,Louisiana,"53,100",279.08,189.1,71.3
St. Helena,Louisiana,"10,132",408.4,27.4,12.6
St. James,Louisiana,"21,096",241.54,91.5,35
St. John the Baptist,Louisiana,"42,837",213.07,215.5,82.2
St. Landry,Louisiana,"82,124",923.88,90.3,38.6
St. Martin,Louisiana,"53,431",737.65,70.7,29.7
St. Mary,Louisiana,"49,348",555.38,98.4,41.5
St. Tammany,Louisiana,"260,419",845.55,276.4,112.8
Tangipahoa,Louisiana,"134,758",791.27,153,63.3
Tensas,Louisiana,"4,334",602.78,8.7,5.6
Terrebonne,Louisiana,"110,461",1231.81,90.8,35.6
Union,Louisiana,"22,108",876.99,25.9,12.9
Vermilion,Louisiana,"59,511",1173.2,49.4,21.5
Vernon,Louisiana,"47,429",1327.91,39.4,16.1
Washington,Louisiana,"46,194",669.52,70.4,31.4
Webster,Louisiana,"38,340",593.03,69.5,32.6
West Baton Rouge,Louisiana,"26,465",192.39,123.6,48.5
West Carroll,Louisiana,"10,830",359.65,32.3,14
West Feliciana,Louisiana,"15,568",403.21,38.8,12.6
Winn,Louisiana,"13,904",950.09,16.1,7.6
Androscoggin,Maine,"108,277",467.93,230.2,104.9
Aroostook,Maine,"67,055",6671.33,10.8,5.9
Cumberland,Maine,"295,003",835.24,337.2,166
Franklin,Maine,"30,199",1696.61,18.1,12.8
Hancock,Maine,"54,987",1586.89,34.3,25.3
Kennebec,Maine,"122,302",867.52,140.8,70.3
Knox,Maine,"39,772",365.13,108.8,65
Lincoln,Maine,"34,634",455.82,75.6,51.5
Oxford,Maine,"57,975",2076.84,27.8,17.4
Penobscot,Maine,"152,148",3397.36,45.3,21.7
Piscataquis,Maine,"16,785",3960.86,4.4,3.9
Sagadahoc,Maine,"35,856",253.69,139.1,72.1
Somerset,Maine,"50,484",3924.4,13.3,7.8
Waldo,Maine,"39,715",729.92,53.1,29.5
Washington,Maine,"31,379",2562.66,12.8,9
York,Maine,"207,641",990.71,199,106.8
Allegany,Maryland,"70,416",424.16,177,78.5
Anne Arundel,Maryland,"579,234",414.9,1295.9,512.3
Baltimore,Maryland,"827,370",598.3,1345.5,561
Calvert,Maryland,"92,525",213.15,416.3,158.5
Caroline,Maryland,"33,406",319.42,103.5,42.2
Carroll,Maryland,"168,447",447.59,373.4,139.4
Cecil,Maryland,"102,855",346.27,292,118.7
Charles,Maryland,"163,257",457.75,320.2,120.1
Dorchester,Maryland,"31,929",540.77,60.3,30.6
Frederick,Maryland,"259,547",660.22,353.5,136.5
Garrett,Maryland,"29,014",647.1,46.5,29.1
Harford,Maryland,"255,441",437.09,560.1,218.6
Howard,Maryland,"325,690",250.74,1144.9,435.8
Kent,Maryland,"19,422",277.03,72.9,38.1
Montgomery,Maryland,"1,050,688",491.25,1978.2,765.2
Prince George's,Maryland,"909,327",482.69,1788.8,679.9
Queen Anne's,Maryland,"50,381",371.91,128.5,54.2
St. Mary's,Maryland,"113,510",357.18,294.4,115.6
Somerset,Maryland,"25,616",319.72,82.8,34.8
Talbot,Maryland,"37,181",268.54,140.7,72.9
Washington,Maryland,"151,049",457.78,322.1,132.8
Wicomico,Maryland,"103,609",374.44,263.7,110
Worcester,Maryland,"52,276",468.28,109.9,119.1
Baltimore city,Maryland,"593,490",80.94,7671.5,3665.3
Barnstable,Massachusetts,"212,990",393.72,548.3,407.1
Berkshire,Massachusetts,"124,944",926.82,141.6,73.9
Bristol,Massachusetts,"565,217",553.1,991.3,416.8
Dukes,Massachusetts,"17,332",103.25,160.2,166.5
Essex,Massachusetts,"789,034",492.56,1508.8,622.8
Franklin,Massachusetts,"70,180",699.32,102.1,48.3
Hampden,Massachusetts,"466,372",617.14,751,311.4
Hampshire,Massachusetts,"160,830",527.26,299.8,118.7
Middlesex,Massachusetts,"1,611,699",817.82,1837.9,748.3
Nantucket,Massachusetts,"11,399",44.97,226.2,258.4
Norfolk,Massachusetts,"706,775",396.11,1693.6,682.5
Plymouth,Massachusetts,"521,202",659.08,750.9,303.7
Suffolk,Massachusetts,"803,907",58.15,12415.6,5425.6
Worcester,Massachusetts,"830,622",1510.77,528.6,216.3
Alcona,Michigan,"10,405",674.59,16.2,16.4
Alger,Michigan,"9,108",915.07,10.5,7.2
Allegan,Michigan,"118,081",825.23,135,59.9
Alpena,Michigan,"28,405",571.86,51.8,28.1
Antrim,Michigan,"23,324",475.7,49.6,37.5
Arenac,Michigan,"14,883",363.19,43.8,27
Baraga,Michigan,"8,209",898.26,9.9,5.9
Barry,Michigan,"61,550",553.09,107,48.8
Bay,Michigan,"103,126",442.3,243.7,109
Benzie,Michigan,"17,766",319.7,54.8,38.2
Berrien,Michigan,"153,401",567.75,276.2,135.5
Branch,Michigan,"43,517",506.37,89.4,41.2
Calhoun,Michigan,"134,159",706.23,192.8,86.4
Cass,Michigan,"51,787",490.06,106.7,52.8
Charlevoix,Michigan,"26,143",416.34,62.3,41.4
Cheboygan,Michigan,"25,276",715.26,36.6,25.6
Chippewa,Michigan,"37,349",1558.42,24.7,13.6
Clare,Michigan,"30,950",564.32,54.8,41.2
Clinton,Michigan,"79,595",566.41,133.1,54.2
Crawford,Michigan,"14,029",556.28,25.3,19.9
Delta,Michigan,"35,784",1171.1,31.7,17.3
Dickinson,Michigan,"25,239",761.4,34.4,18.4
Eaton,Michigan,"110,268",575.17,187.4,81.8
Emmet,Michigan,"33,415",467.49,69.9,45.6
Genesee,Michigan,"405,813",636.98,668.5,301.7
Gladwin,Michigan,"25,449",501.78,51.2,35.2
Gogebic,Michigan,"13,975",1101.85,14.9,9.8
Grand Traverse,Michigan,"93,088",464.33,187.3,89.6
Gratiot,Michigan,"40,711",568.46,74.7,28.7
Hillsdale,Michigan,"45,605",598.13,78.1,36.4
Houghton,Michigan,"35,684",1009.1,36.3,18.5
Huron,Michigan,"30,981",835.71,39.6,25.4
Ingham,Michigan,"292,406",556.12,505.1,218.1
Ionia,Michigan,"64,697",571.3,111.9,43.4
Iosco,Michigan,"25,127",549.1,47.1,37.2
Iron,Michigan,"11,066",1166.15,10.1,7.9
Isabella,Michigan,"69,872",572.68,122.8,49.6
Jackson,Michigan,"158,510",701.67,228.4,99
Kalamazoo,Michigan,"265,066",561.66,445.7,195.9
Kalkaska,Michigan,"18,038",559.86,30.6,21.7
Kent,Michigan,"656,955",846.95,711.5,291.5
Keweenaw,Michigan,"2,116",540.11,4,4.6
Lake,Michigan,"11,853",567.37,20.3,26.4
Lapeer,Michigan,"87,607",643.01,137.4,56.5
Leelanau,Michigan,"21,761",347.17,62.5,43
Lenawee,Michigan,"98,451",749.55,133.3,58
Livingston,Michigan,"191,995",565.25,320.2,128.8
Luce,Michigan,"6,229",899.08,7.4,4.8
Mackinac,Michigan,"10,799",1021.57,10.9,10.8
Macomb,Michigan,"873,972",479.22,1754.9,744.2
Manistee,Michigan,"24,558",542.15,45.6,28.9
Marquette,Michigan,"66,699",1808.4,37.1,19
Mason,Michigan,"29,144",495.07,58,34.9
Mecosta,Michigan,"43,453",555.07,77.1,38.1
Menominee,Michigan,"22,780",1044.08,23,13.6
Midland,Michigan,"83,156",516.25,162,69.7
Missaukee,Michigan,"15,118",564.73,26.3,16.1
Monroe,Michigan,"150,500",549.39,276.7,114.6
Montcalm,Michigan,"63,888",705.4,89.8,40
Montmorency,Michigan,"9,328",546.66,17.9,17.6
Muskegon,Michigan,"173,566",499.25,344.9,147.3
Newaygo,Michigan,"48,980",813.2,59.6,30.8
Oakland,Michigan,"1,257,584",867.66,1385.7,607.7
Oceana,Michigan,"26,467",512.07,51.9,31.1
Ogemaw,Michigan,"20,997",563.49,38.5,28.5
Ontonagon,Michigan,"5,720",1311.22,5.2,4.3
Osceola,Michigan,"23,460",566.39,41.5,24.1
Oscoda,Michigan,"8,241",565.73,15.3,16.1
Otsego,Michigan,"24,668",514.97,46.9,28.6
Ottawa,Michigan,"291,830",563.47,468.2,181.9
Presque Isle,Michigan,"12,592",658.72,20.3,15.8
Roscommon,Michigan,"24,019",519.64,47.1,47.1
Saginaw,Michigan,"190,539",800.11,250.2,108.5
St. Clair,Michigan,"159,128",721.17,226.1,99.6
St. Joseph,Michigan,"60,964",500.59,122.4,55.5
Sanilac,Michigan,"41,170",962.57,44.8,23.6
Schoolcraft,Michigan,"8,094",1171.36,7.2,5.4
Shiawassee,Michigan,"68,122",530.67,133.1,57.1
Tuscola,Michigan,"52,245",803.13,69.4,30.4
Van Buren,Michigan,"75,677",607.47,125.5,60.6
Washtenaw,Michigan,"367,601",705.97,488.4,209
Wayne,Michigan,"1,749,343",612.08,2974.4,1342.5
Wexford,Michigan,"33,631",565,57.9,29.6
Aitkin,Minnesota,"15,886",1821.66,8.9,8.8
Anoka,Minnesota,"356,921",423.01,782.1,299.5
Becker,Minnesota,"34,423",1315.2,24.7,14.3
Beltrami,Minnesota,"47,188",2504.94,17.7,8.2
Benton,Minnesota,"40,889",408.3,94.2,39.5
Big Stone,Minnesota,"4,991",499.02,10.6,6.2
Blue Earth,Minnesota,"67,653",747.84,85.6,35
Brown,Minnesota,"25,008",611.09,42.4,18.8
Carlton,Minnesota,"35,871",861.38,41.1,18.2
Carver,Minnesota,"105,089",354.33,256.9,97.5
Cass,Minnesota,"29,779",2021.54,14.1,12.3
Chippewa,Minnesota,"11,800",581.12,21.4,9.8
Chisago,Minnesota,"56,579",414.86,129.9,51
Clay,Minnesota,"64,222",1045.37,56.4,22.9
Clearwater,Minnesota,"8,818",998.94,8.7,4.8
Cook,Minnesota,"5,463",1452.28,3.6,4
Cottonwood,Minnesota,"11,196",638.61,18.3,8.5
Crow Wing,Minnesota,"65,055",999.09,62.6,40.2
Dakota,Minnesota,"429,021",562.17,709,283.9
Dodge,Minnesota,"20,934",439.28,45.7,18.1
Douglas,Minnesota,"38,141",637.3,56.5,31.2
Faribault,Minnesota,"13,653",712.48,20.4,10
Fillmore,Minnesota,"21,067",861.3,24.2,11.3
Freeborn,Minnesota,"30,281",707.09,44.2,20.1
